Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/animal/insecta-ant-colony3-day03.edges	161	9191	[1,72]	151|0	0|0	64	20	16	129	16	7	14	7	14	7	75	43	
d/animal/insecta-beetle-group-c3-period-1.edges	29	131	[0,0]	14|0	1|1	14	0	0	8	8	5	8	5	8	5	8	5	
d/animal/insecta-ant-colony4-day36.edges	102	488	[1,50]	33|0	0|0	15	4	3	30	3	2	3	2	3	2	18	9	
d/animal/insecta-ant-trophallaxis-colony2-day8.edges	35	48	[4,514]	8|0	5|5	2	1	1	3	1	1	1	1	1	1	1	1	
d/animal/reptilia-tortoise-network-hw.edges	17	16	[2009,2012]	4|0	4|9	3	2	2	2	2	1	2	1	2	1	2	2	
d/animal/insecta-ant-colony1-day11.edges	114	3454	[1,159]	90|0	0|0	35	10	6	65	6	3	6	3	6	3	38	18	
d/animal/aves-barn-swallow-contact-network.edges	18	53	[1,8]	11|0	1|0	10	6	5	7	5	3	4	3	4	3	7	5	
d/animal/insecta-ant-colony1-day18.edges	113	3423	[1,160]	95|0	0|0	34	11	10	73	10	4	8	4	8	4	43	24	
d/animal/insecta-ant-colony1-day25.edges	113	2117	[1,94]	73|0	0|0	30	10	8	57	8	4	8	4	8	4	38	20	
d/animal/insecta-ant-colony4-day09.edges	103	3988	[1,91]	98|0	0|0	34	9	7	86	7	4	7	4	6	4	40	24	
d/animal/insecta-ant-colony1-day09.edges	114	4128	[1,142]	105|0	0|0	48	11	9	83	9	5	8	5	8	5	46	24	
d/animal/insecta-ant-colony6-day05.edges	165	10005	[1,102]	159|0	0|0	47	14	9	133	9	5	9	5	9	5	58	31	
d/animal/fish-stickleback-group-2.edges	11	45	[0,0]	9|0	0|0	9	0	0	0	0	0	0	0	0	0	0	0	
d/animal/insecta-ant-colony3-day27.edges	161	4545	[1,208]	106|0	0|0	40	12	9	91	9	5	9	5	9	5	42	25	
d/animal/aves-sparrow-social-2009.edges	32	211	[0,0]	23|0	0|0	23	0	0	18	18	10	18	10	18	10	18	10	
d/animal/insecta-ant-colony6-day24.edges	165	4536	[1,101]	114|0	0|0	37	11	8	86	8	5	8	5	7	5	40	24	
d/animal/insecta-ant-colony2-day20.edges	132	3902	[1,86]	98|0	0|0	37	10	9	77	9	5	8	5	8	5	38	24	
d/animal/insecta-beetle-group-c2-period-1.edges	28	117	[0,0]	17|0	0|0	17	0	0	7	7	4	7	4	7	4	7	4	
d/animal/insecta-ant-colony3-day26.edges	161	4535	[1,176]	106|0	1|0	41	12	9	84	9	5	9	5	9	5	44	28	
d/animal/insecta-ant-colony5-day40.edges	152	1512	[1,187]	63|0	0|0	22	9	6	54	6	4	6	4	6	4	25	15	
d/animal/insecta-ant-colony2-day27.edges	132	2394	[1,157]	80|0	0|0	28	8	7	64	7	4	7	4	7	4	33	19	
d/animal/insecta-ant-colony1-day29.edges	113	2221	[1,135]	74|0	0|0	38	13	9	60	8	4	7	4	7	4	31	20	
d/animal/insecta-ant-colony2-day11.edges	132	5704	[1,119]	125|0	0|0	43	12	10	102	9	5	9	5	9	5	48	28	
d/animal/insecta-ant-colony2.edges	132	8437	[1,277]	130|0	0|0	99	106	105	128	127	110	122	79	122	79	128	80	
d/animal/insecta-ant-colony3-day35.edges	161	2915	[1,90]	86|0	0|0	32	9	8	68	8	4	8	4	8	4	36	21	
d/animal/fish-guppy-familiar-2.edges	7	15	[7,22]	5|0	0|0	2	1	1	0	1	0	1	0	0	0	0	0	
d/animal/insecta-ant-colony2-day33.edges	130	1086	[1,86]	50|0	0|0	19	7	5	43	5	3	5	3	4	3	21	12	
d/animal/insecta-ant-colony3-day13.edges	161	6477	[1,146]	131|0	0|0	55	16	12	104	12	6	11	6	11	6	62	32	
d/animal/insecta-ant-colony5-day35.edges	152	1506	[1,139]	59|0	0|0	26	8	7	51	6	3	5	3	5	3	28	16	
