Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-raccoon-proximity-7.edges	25	82	[3,212339]	15|0	0|0	2	0	0	7	0	0	0	0	0	0	1	1	
d/mammalia/mammalia-raccoon-proximity-13.edges	25	57	[6,58693]	11|0	0|1	2	0	0	6	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-voles-kcs-trapping-40.edges	848	9	[1,1]	3|0	3|6	3	0	0	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-kcs-trapping-64.edges	1219	33	[1,5]	4|0	3|3	4	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-46.edges	1058	122	[1,5]	9|0	8|13	9	5	4	4	4	4	2	4	2	4	4	4	
d/mammalia/mammalia-voles-rob-trapping-50.edges	1218	152	[1,7]	10|0	27|18	9	5	4	4	4	3	2	3	2	3	4	3	
d/mammalia/mammalia-voles-kcs-trapping-23.edges	491	90	[1,7]	8|0	11|19	7	2	2	4	2	2	1	2	1	2	4	2	
d/mammalia/mammalia-voles-plj-trapping-05.edges	105	82	[1,7]	8|0	5|17	8	3	3	3	2	2	2	2	2	2	3	2	
d/mammalia/mammalia-raccoon-proximity-28.edges	25	27	[4,513607]	7|0	4|3	1	0	0	3	0	0	0	0	0	0	1	0	
Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-voles-kcs-trapping-36.edges	793	24	[1,3]	4|0	12|10	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-baboon-grooming-group15.edges	7	9	[1,2]	4|0	0|2	4	1	1	2	1	1	1	1	1	1	2	2	
d/mammalia/mammalia-raccoon-proximity-40.edges	25	35	[3,509880]	8|0	2|2	2	1	1	4	1	0	1	0	1	0	1	0	
d/mammalia/mammalia-voles-kcs-trapping-50.edges	1039	72	[1,4]	6|0	17|13	6	3	3	2	3	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-63.edges	1476	65	[1,4]	5|0	13|16	5	2	2	2	2	2	1	2	1	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-12.edges	226	115	[1,9]	9|0	7|19	8	3	3	3	3	3	2	3	2	3	3	3	
d/mammalia/mammalia-raccoon-proximity-5.edges	25	67	[2,176486]	11|0	0|0	2	0	0	6	0	0	0	0	0	0	1	1	
d/mammalia/mammalia-voles-bhp-trapping-53.edges	1428	24	[1,3]	4|0	13|6	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-kcs-trapping-58.edges	1139	27	[1,6]	4|0	12|3	4	3	3	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-elephantseal-2011-2012.edges	31	33	[1,1]	6|0	14|6	6	0	0	2	2	1	2	1	2	1	2	1	
d/mammalia/mammalia-voles-kcs-trapping-34.edges	771	9	[1,3]	2|0	12|3	2	1	1	1	1	0	1	0	1	0	1	0	
d/mammalia/mammalia-voles-plj-trapping-46.edges	898	69	[1,9]	6|0	18|18	6	3	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-baboon-grooming-group03.edges	27	35	[1,5]	7|0	5|5	6	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-64.edges	1687	56	[1,10]	5|0	14|10	4	2	2	2	2	2	2	2	1	2	2	2	
d/mammalia/mammalia-voles-kcs-trapping-13.edges	192	59	[1,5]	8|0	16|8	7	3	2	4	2	2	2	2	2	2	4	3	
d/mammalia/mammalia-voles-rob-trapping-18.edges	536	74	[1,9]	5|0	39|19	5	2	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-baboon-association-group03.edges	27	31	[1,2]	6|0	6|11	6	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-10.edges	200	54	[1,4]	6|0	11|13	5	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-21.edges	588	130	[1,6]	8|0	8|18	7	3	2	3	2	2	2	2	2	2	3	2	
d/mammalia/mammalia-hyena-networkb.edges	37	585	[0,0]	35|0	0|0	35	0	0	33	33	12	33	12	33	12	33	12	
d/mammalia/mammalia-raccoon-proximity-41.edges	25	47	[9,348675]	9|0	3|1	2	0	0	5	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-baboon-association-group02.edges	6	8	[1,3]	4|0	0|1	3	2	2	2	2	2	0	2	0	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-45.edges	1190	77	[1,12]	8|0	12|11	8	6	6	1	6	3	4	3	1	3	1	3	
d/mammalia/mammalia-voles-bhp-trapping-36.edges	1121	39	[1,12]	6|0	14|10	6	3	3	2	3	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-63.edges	1670	31	[1,6]	2|0	26|18	2	1	1	1	1	0	1	0	1	0	1	1	
Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-voles-kcs-trapping-19.edges	371	18	[1,4]	3|0	22|4	3	1	1	1	1	0	1	0	1	0	1	1	
d/mammalia/mammalia-baboon-association-group18.edges	11	27	[1,2]	6|0	0|0	6	4	4	5	4	2	4	2	4	2	5	4	
d/mammalia/mammalia-voles-bhp-trapping-55.edges	1463	105	[1,6]	9|0	4|7	8	3	3	4	2	3	2	3	2	3	4	3	
d/mammalia/mammalia-raccoon-proximity-32.edges	25	27	[24,257631]	7|0	2|1	1	0	0	5	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-voles-rob-trapping-25.edges	805	128	[1,4]	10|0	26|22	10	6	6	3	2	6	2	6	2	6	3	6	
d/mammalia/mammalia-primate-association-9.edges	21	129	[0,7]	17|0	0|0	15	11	11	13	10	6	9	6	9	6	13	9	
d/mammalia/mammalia-baboon-association-group07.edges	17	28	[1,2]	6|0	1|3	6	3	3	3	3	2	3	2	3	2	3	2	
